Flood,Aspect,CTI,Curvature,DEM,Distance_river,Distance_road,Landuse2005,Rainfall2005,Slope,SPI,TWI
No,0.32521,0.131427,0.6929770000000001,0.27415300000000004,0.21048699999999998,0.141546,0.25,0.46801000000000004,0.676158,0.000294,0.131427
No,0.405541,0.09837699999999999,0.688821,0.174878,0.028270999999999998,0.08163,0.25,0.762992,0.823682,0.000292,0.09837699999999999
No,0.22023299999999998,0.070542,0.74968,0.166247,0.16254100000000002,0.220887,0.25,0.758004,0.8596010000000001,0.00016299999999999998,0.070542
No,0.151226,0.170206,0.693209,0.07694400000000001,0.049388999999999995,0.011542,0.5,0.7797310000000001,0.637104,0.0006219999999999999,0.170206
No,0.0036869999999999997,0.178018,0.683037,0.390388,0.15820399999999998,0.43428199999999995,0.25,0.307841,0.618003,0.000677,0.178018
Yes,0.996218,0.43496999999999997,0.696297,0.006318,0.142873,0.009125,0.5,0.22602199999999997,0.001532,1e-06,0.43496999999999997
No,0.619689,0.103407,0.711276,0.314562,0.10115700000000001,0.47783000000000003,0.25,0.397873,0.700619,0.000157,0.103407
No,0.040975,0.12116700000000001,0.735406,0.37755700000000003,0.194572,0.26887300000000003,0.25,0.446679,0.545876,0.000106,0.12116700000000001
No,0.448726,0.179695,0.704217,0.056226,0.003326,0.038944,0.5,0.7683479999999999,0.7044189999999999,0.0011070000000000001,0.179695
Yes,0.205655,0.193281,0.699254,0.022109999999999998,0.027877,0.011147,0.5,0.783998,0.065677,4e-06,0.193281
No,0.725594,0.166047,0.684701,0.095087,0.05416900000000001,0.06015499999999999,0.25,0.7683479999999999,0.67342,0.000682,0.166047
Yes,0.773163,0.454081,0.696318,0.006774,0.028466,0.008003,1.0,0.279147,0.002606,4e-06,0.454081
Yes,0.694458,0.48086899999999994,0.696314,0.005282,0.009696999999999999,0.075923,1.0,0.29343,0.002542,6e-06,0.48086899999999994
No,0.233172,0.08685,0.748113,0.145137,0.143057,0.019538,0.25,0.556578,0.8349,0.000226,0.08685
No,0.46525299999999997,0.17291700000000002,0.696414,0.38855500000000004,0.031068000000000002,0.092848,0.25,0.6063729999999999,0.557124,0.00043499999999999995,0.17291700000000002
No,0.343238,0.155607,0.697382,0.18583,0.095951,0.097754,0.25,0.760695,0.7361880000000001,0.000745,0.155607
Yes,0.424537,0.349138,0.695645,0.005525,0.053138,0.0035789999999999997,0.5,0.393953,0.012379000000000001,7.000000000000001e-06,0.349138
No,0.45837700000000003,0.210499,0.7060890000000001,0.069789,0.0,0.042783999999999996,0.5,0.7683479999999999,0.640129,0.001611,0.210499
No,0.9086780000000001,0.1327,0.731733,0.122432,0.0203,0.38362399999999997,0.25,0.726097,0.8613270000000001,0.0008990000000000001,0.1327
No,0.337345,0.159621,0.685295,0.26197600000000004,0.145073,0.398879,0.25,0.295585,0.5700270000000001,0.000337,0.159621
No,0.390414,0.13184400000000002,0.679976,0.44881000000000004,0.28215300000000004,0.20658400000000002,0.25,0.6470899999999999,0.611846,0.00020800000000000001,0.13184400000000002
No,0.63021,0.08607100000000001,0.702928,0.364954,0.279172,0.19878900000000002,0.25,0.713802,0.8407129999999999,0.00022999999999999998,0.08607100000000001
Yes,0.57693,0.36161,0.696298,0.004963,0.016630000000000002,0.022294,0.5,0.037673000000000005,0.003128,1e-06,0.36161
No,0.169511,0.145427,0.689543,0.33364099999999997,0.128321,0.12369100000000001,0.25,0.591026,0.730508,0.0005650000000000001,0.145427
No,0.711687,0.10406800000000001,0.708052,0.137509,0.05206,0.022322,0.25,0.7761319999999999,0.8425959999999999,0.000386,0.10406800000000001
No,0.083467,0.09083,0.7077399999999999,0.366989,0.137427,0.064074,0.25,0.61928,0.697418,0.00010400000000000001,0.09083
Yes,0.125223,0.381909,0.696287,0.006287,0.018593000000000002,0.004802000000000001,0.75,0.365058,0.002491,1e-06,0.381909
No,0.60272,0.170622,0.70703,0.086148,0.05715,0.010123,0.25,0.7799659999999999,0.658874,0.000704,0.170622
No,0.348048,0.12006099999999999,0.699175,0.34172399999999997,0.24122800000000003,0.177171,0.25,0.767332,0.772117,0.000379,0.12006099999999999
No,0.535334,0.194519,0.653144,0.23329699999999998,0.273306,0.24889299999999998,0.25,0.755542,0.721819,0.0017109999999999998,0.194519
No,0.718229,0.16003900000000001,0.701842,0.300115,0.5404770000000001,0.36489499999999997,0.25,0.721204,0.525555,0.000267,0.16003900000000001
Yes,0.7350810000000001,0.494296,0.6963020000000001,0.004975,0.020094,0.161417,1.0,0.272429,0.000533,0.0,0.494296
No,0.442891,0.11528699999999999,0.69621,0.287921,0.20664200000000002,0.167504,0.25,0.767332,0.892452,0.000722,0.11528699999999999
